"","X13_S84_L002","X14_S85_L002","X15_S86_L002","X16_S87_L002","X17_S88_L002","X18_S89_L002","X19_S90_L002","X2_S73_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X27_S98_L002","X29_S100_L002","X31_S102_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X4_S75_L002","X41_S112_L002","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X1_S1_L001_reseq","X10_S10_L001_reseq","X11_S11_L001_reseq","X12_S12_L001_reseq","X13_S13_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X16_S16_L001_reseq","X17_S17_L001_reseq","X2_S2_L001_reseq","X3_S3_L001_reseq","X4_S4_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq"
"ASV_126",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,84,51,25,32,23,0,0,0,0,27,26,21,2,14,21,14,6,1,2,11,6,0,0,0,0,0,7,15
"ASV_127",0,0,0,0,0,0,0,0,0,0,0,0,91,44,0,0,0,0,0,0,35,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,39,40,21,18,0,0
"ASV_129",0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,19,26,23,35,20,0,0,0,0,0,0,0,1,14,21,13,24,0,0,0,0,0,0,0,0,0,12,19
"ASV_130",3,0,0,0,0,0,0,15,0,0,0,0,27,12,12,8,27,31,4,11,0,0,0,0,26,22,22,12,16,18,6,8,0,0,8,0,11,6,5,7,1,16,30
"ASV_131",0,0,0,0,0,0,0,0,0,31,103,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0
"ASV_132",26,30,29,34,0,0,0,17,0,0,0,0,0,0,0,18,15,10,33,21,0,0,0,0,0,0,0,0,9,17,26,20,0,0,0,4,1,0,0,0,0,6,6
"ASV_133",0,0,0,0,0,0,0,23,0,0,0,0,44,75,90,0,0,0,0,0,29,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,76,52,37,23,0,0
"ASV_134",0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,51,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,99,16,39,0,8,0,0
"ASV_135",0,0,0,0,0,0,0,17,0,0,0,0,60,54,84,0,0,0,0,0,32,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,30,41,47,28,20,0,0
"ASV_137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,0,0,0,0,0,0,0,0,0,0,0,7,22
"ASV_138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV_140",0,0,0,0,0,0,32,0,0,101,21,39,0,0,0,0,0,13,0,2,0,0,0,0,148,93,152,0,0,2,0,7,5,8,61,4,0,0,0,0,0,0,0
"ASV_141",0,0,0,0,16,0,15,0,7,0,19,0,0,0,0,0,0,0,0,0,0,40,39,40,21,38,0,0,0,0,0,0,7,52,57,0,0,0,0,0,0,0,0
"ASV_144",0,0,0,0,0,0,0,0,0,45,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,152,0,0,0,0,0,1
"ASV_145",0,0,0,0,0,0,0,36,0,0,0,0,73,93,72,0,0,0,0,0,58,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,13,71,36,20,40,2,0
"ASV_146",0,0,0,0,0,0,49,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,53,47,37,21,20,0,0,0,0,0,24,22,35,0,0,0,0,0,0,0,0
"ASV_147",0,0,0,0,0,0,51,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,35,25,43,0,0,0,0,0,0,0,14,68,53,0,0,0,0,0,0,0,0
"ASV_149",0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,33,0,41,37,27,0,0,0,4,1,14,25,45,0,1,0,0,0,0,0,0
"ASV_151",0,0,0,0,0,4,45,0,8,0,3,0,0,0,0,0,0,0,0,0,0,25,54,34,39,94,27,0,0,0,0,0,16,42,21,0,0,0,0,0,0,0,0
"ASV_152",0,0,0,0,0,0,0,0,0,0,0,0,0,107,97,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,94,41,26,15,0,0
"ASV_153",0,97,55,0,0,0,0,0,0,140,41,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,46,0,0
"ASV_156",0,0,0,0,0,0,0,37,0,0,0,0,49,63,38,1,0,0,0,0,62,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,12,29,32,18,15,0,2
"ASV_157",0,0,0,0,0,0,0,0,0,44,33,17,0,0,0,0,82,34,0,0,0,0,0,0,0,121,0,0,5,9,0,0,13,3,6,10,0,0,0,0,0,5,8
"ASV_162",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,8,9,5,0,4,1,0
"ASV_163",8,11,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0,121,0,0,2,8,30,8,5,4,22,0,0,0,0,0,0,6
