""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_82"	0	32	27	79	53	54	67	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	36	27	64	0	106	120	0	46	0	0	0	0	0	0	0	0	0	0	42	45	94	0	0	0	0	0
"ASV_83"	0	0	0	60	35	49	49	49	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	39	73	85	67	22	51	132	0	39	0	0	0	0	54	35	0	0	0	0	0	0	93	0	0	0	0	0
"ASV_84"	0	14	14	0	17	36	27	29	0	0	36	19	0	66	32	11	0	0	0	0	9	0	0	0	0	0	28	48	57	66	9	29	88	0	17	0	0	0	0	99	83	83	0	0	0	0	0	0	0	0	0	0	12
"ASV_85"	0	0	0	18	9	40	27	10	0	0	26	53	0	0	0	10	0	46	41	41	51	41	0	46	47	22	0	0	0	16	0	42	94	48	22	16	0	15	20	25	27	0	0	0	20	0	0	0	0	29	0	21	4
"ASV_86"	20	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	47	75	133	51	67	26	39	81	22	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	44	32	0	0
"ASV_87"	0	53	33	157	0	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	119	141	165	171	0	0	44	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_88"	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	41	68	57	57	141	20	72	96	49	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	87	68	45	0
"ASV_89"	0	0	0	0	0	0	0	0	0	0	111	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	68	138	387	66	0	0	25	0	0	54	0	0	0	0	0	0	0
"ASV_90"	0	20	0	145	0	0	0	0	0	0	0	0	0	124	74	21	0	0	0	0	0	0	0	0	0	0	0	140	79	151	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_91"	8	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	74	96	98	97	85	13	51	78	25	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	55	0	45	0
