"crrelRR"	"crrelerr_R"	"crrelSig_adjust_R"	"crrelICl_R"	"crrelICu_R"
"ASV_174"	0	0	0	0	0
"ASV_175"	0	0	0	0	0
"ASV_176"	0	0	0	0	0
"ASV_177"	19.3487278007097	1.46269442998662	1	17.8860333707231	20.8114222306963
"ASV_178"	3.0576816112466	5.07000402950983	-1067.58035586423	-2.01232241826323	8.12768564075643
"ASV_179"	0	0	0	0	0
"ASV_180"	-17.6506750812049	3.06661850542894	1	-20.7172935866339	-14.584056575776
"ASV_181"	-0.53117855602834	7.12306899227878	-24094.0492664089	-7.65424754830712	6.59189043625044
"ASV_182"	-0.556424489370218	1.07875019734147	-29.0231941149075	-1.63517468671168	0.522325707971248
"ASV_183"	0	0	0	0	0
"ASV_184"	0	0	0	0	0
"ASV_185"	0.0641863679394188	1.03816551385342	-37.6115345338348	-0.973979145913998	1.10235188179284
"ASV_186"	0	0	0	0	0
"ASV_187"	0	0	0	0	0
"ASV_188"	-19.8128391544086	3.1646038031288	1	-22.9774429575374	-16.6482353512798
"ASV_189"	19.2859843868815	2.51609259579164	1	16.7698917910899	21.8020769826732
"ASV_190"	0	0	0	0	0
"ASV_191"	0	0	0	0	0
"ASV_192"	0	0	0	0	0
"ASV_193"	-0.230369732176368	0.843240198485477	-21.6300260446542	-1.07360993066184	0.612870466309109
"ASV_194"	0	0	0	0	0
"ASV_195"	0	0	0	0	0
"ASV_196"	0	0	0	0	0
"ASV_197"	0	0	0	0	0
"ASV_198"	20.8672309021299	1.72972457880269	1	19.1375063233272	22.5969554809326
"ASV_199"	0	0	0	0	0
"ASV_200"	18.5950031844945	5.03677041144028	1	13.5582327730542	23.6317735959348
"ASV_201"	0	0	0	0	0
"ASV_202"	0	0	0	0	0
"ASV_203"	-2.3857665466174	2.79291609681579	-80.7190090995589	-5.17868264343318	0.407149550198388
"ASV_204"	0	0	0	0	0
"ASV_205"	0	0	0	0	0
"ASV_206"	-0.330247545452907	1.82310673471818	-133.180649858409	-2.15335428017109	1.49285918926527
"ASV_207"	-0.776636159919668	2.03682687981532	-149.620100567314	-2.81346303973499	1.26019071989566
"ASV_208"	-21.6267623669512	1.81406903919935	1	-23.4408314061506	-19.8126933277519
"ASV_209"	0	0	0	0	0
"ASV_210"	0	0	0	0	0
"ASV_211"	0	0	0	0	0
"ASV_212"	-1.04994437088512	1.30595611302574	-19.6138809047627	-2.35590048391086	0.256011742140617
"ASV_213"	-0.313946299288193	0.665380218923992	-10.5494639079084	-0.979326518212185	0.3514339196358
"ASV_214"	0	0	0	0	0
"ASV_215"	-0.601540305071361	1.04919729252804	-24.8319346972852	-1.6507375975994	0.447656987456674
"ASV_216"	0	0	0	0	0
"ASV_217"	-19.2984399670104	5.03677043281193	1	-24.3352103998224	-14.2616695341985
"ASV_218"	-0.319260484177987	2.13600487657758	-201.347906582583	-2.45526536075557	1.81674439239959
"ASV_219"	-0.867112974641052	1.21677442028947	-24.3951569464655	-2.08388739493052	0.349661445648418
"ASV_220"	-0.676175220064317	1.0295713516925	-19.5330102481853	-1.70574657175682	0.353396131628187
"ASV_221"	-1.33990848491172	3.31256625079343	-501.62433019353	-4.65247473570516	1.97265776588171
"ASV_222"	0	0	0	0	0
"ASV_223"	0	0	0	0	0
"ASV_224"	0	0	0	0	0
"ASV_225"	0	0	0	0	0
"ASV_226"	0	0	0	0	0
"ASV_227"	0	0	0	0	0
"ASV_228"	0	0	0	0	0
"ASV_229"	0	0	0	0	0
"ASV_230"	0	0	0	0	0
"ASV_231"	0	0	0	0	0
"ASV_232"	-0.750110504501848	0.972480398616875	-11.8615495993565	-1.72259090311872	0.222369894115026
"ASV_233"	-0.0324141764968312	0.79153606823244	-20.4135538096143	-0.823950244729271	0.759121891735609
"ASV_234"	0	0	0	0	0
"ASV_235"	-0.270622125233833	1.12083322347363	-42.0926990923087	-1.39145534870746	0.850211098239794
"ASV_236"	19.385676812928	2.36701881547623	1	17.0186579974518	21.7526956284043
"ASV_237"	0	0	0	0	0
"ASV_238"	-1.88312525217539	5.27437860510086	-1835.23419120641	-7.15750385727625	3.39125335292547
"ASV_239"	-0.64487767652572	0.906270922896676	-12.5984125860463	-1.5511485994224	0.261393246370956
"ASV_240"	-0.307746534704452	1.52437701489675	-85.694383271791	-1.8321235496012	1.2166304801923
"ASV_241"	0.182478732682759	1.36152096017521	-68.8202488130984	-1.17904222749245	1.54399969285797
"ASV_242"	-0.291946531540302	1.1346112459966	-43.1096566926365	-1.4265577775369	0.842664714456293
"ASV_243"	0	0	0	0	0
"ASV_244"	0	0	0	0	0
"ASV_245"	0	0	0	0	0
"ASV_246"	0	0	0	0	0
"ASV_247"	21.7220084939259	5.0367704518952	1	16.6852380420307	26.7587789458211
"ASV_248"	0	0	0	0	0
"ASV_249"	0	0	0	0	0
"ASV_250"	0	0	0	0	0
